Date,Time,Energy Consumption (kWh),Total Cost ($)
2023-01-04,00:00:00,2.45,1.23
2023-01-04,01:00:00,1.71,0.85
2023-01-04,02:00:00,1.98,0.99
2023-01-04,03:00:00,0.58,0.29
2023-01-04,04:00:00,1.07,0.53
2023-01-04,05:00:00,0.74,0.37
2023-01-04,06:00:00,1.09,0.55
2023-01-04,07:00:00,0.74,0.37
2023-01-04,08:00:00,1.14,0.57
2023-01-04,09:00:00,1.33,0.66
2023-01-04,10:00:00,0.63,0.31
2023-01-04,11:00:00,1.88,0.94
2023-01-04,12:00:00,1.63,0.82
2023-01-04,13:00:00,1.03,0.52
2023-01-04,14:00:00,1.55,0.77
2023-01-04,15:00:00,0.69,0.34
2023-01-04,16:00:00,1.65,0.83
2023-01-04,17:00:00,2.36,1.18
2023-01-04,18:00:00,1.14,0.57
2023-01-04,19:00:00,1.83,0.92
2023-01-04,20:00:00,0.76,0.38
2023-01-04,21:00:00,1.93,0.97
2023-01-04,22:00:00,1.08,0.54
2023-01-04,23:00:00,0.87,0.43
2023-01-05,00:00:00,1.67,0.84
2023-01-05,01:00:00,0.54,0.27
2023-01-05,02:00:00,2.16,1.08
2023-01-05,03:00:00,0.51,0.25
2023-01-05,04:00:00,1.86,0.93
2023-01-05,05:00:00,1.04,0.52
2023-01-05,06:00:00,1.97,0.99
2023-01-05,07:00:00,2.42,1.21
2023-01-05,08:00:00,1.0,0.5
2023-01-05,09:00:00,1.65,0.83
2023-01-05,10:00:00,1.68,0.84
2023-01-05,11:00:00,1.64,0.82
2023-01-05,12:00:00,0.95,0.47
2023-01-05,13:00:00,2.41,1.2
2023-01-05,14:00:00,1.39,0.7
2023-01-05,15:00:00,2.19,1.1
2023-01-05,16:00:00,1.9,0.95
2023-01-05,17:00:00,1.09,0.55
2023-01-05,18:00:00,2.13,1.06
2023-01-05,19:00:00,1.29,0.65
2023-01-05,20:00:00,2.26,1.13
2023-01-05,21:00:00,1.66,0.83
2023-01-05,22:00:00,2.26,1.13
2023-01-05,23:00:00,1.89,0.94
2023-01-06,00:00:00,1.95,0.98
2023-01-06,01:00:00,1.5,0.75
2023-01-06,02:00:00,2.41,1.21
2023-01-06,03:00:00,1.79,0.89
2023-01-06,04:00:00,1.35,0.67
2023-01-06,05:00:00,1.71,0.86
2023-01-06,06:00:00,0.54,0.27
2023-01-06,07:00:00,1.1,0.55
2023-01-06,08:00:00,1.82,0.91
2023-01-06,09:00:00,1.08,0.54
2023-01-06,10:00:00,1.74,0.87
2023-01-06,11:00:00,1.36,0.68
2023-01-06,12:00:00,0.77,0.39
2023-01-06,13:00:00,1.1,0.55
2023-01-06,14:00:00,1.64,0.82
2023-01-06,15:00:00,1.68,0.84
2023-01-06,16:00:00,1.65,0.82
2023-01-06,17:00:00,1.81,0.9
2023-01-06,18:00:00,1.8,0.9
2023-01-06,19:00:00,1.36,0.68
2023-01-06,20:00:00,2.29,1.15
2023-01-06,21:00:00,1.24,0.62
2023-01-06,22:00:00,1.37,0.69
2023-01-06,23:00:00,2.28,1.14
2023-01-07,00:00:00,2.11,1.06
2023-01-07,01:00:00,1.91,0.95
2023-01-07,02:00:00,0.7,0.35
2023-01-07,03:00:00,2.34,1.17
2023-01-07,04:00:00,1.93,0.96
2023-01-07,05:00:00,2.5,1.25
2023-01-07,06:00:00,0.8,0.4
2023-01-07,07:00:00,2.24,1.12
2023-01-07,08:00:00,0.82,0.41
2023-01-07,09:00:00,1.73,0.87
2023-01-07,10:00:00,0.75,0.37
2023-01-07,11:00:00,2.2,1.1
2023-01-07,12:00:00,2.11,1.06
2023-01-07,13:00:00,1.64,0.82
2023-01-07,14:00:00,1.31,0.66
2023-01-07,15:00:00,0.64,0.32
2023-01-07,16:00:00,1.89,0.95
2023-01-07,17:00:00,1.41,0.7
2023-01-07,18:00:00,1.94,0.97
2023-01-07,19:00:00,2.23,1.12
2023-01-07,20:00:00,2.45,1.23
2023-01-07,21:00:00,2.21,1.11
2023-01-07,22:00:00,0.52,0.26
2023-01-07,23:00:00,1.22,0.61
2023-01-08,00:00:00,1.96,0.98
2023-01-08,01:00:00,0.84,0.42
2023-01-08,02:00:00,1.54,0.77
2023-01-08,03:00:00,0.61,0.3
2023-01-08,04:00:00,0.9,0.45
2023-01-08,05:00:00,0.54,0.27
2023-01-08,06:00:00,2.09,1.04
2023-01-08,07:00:00,0.95,0.47
2023-01-08,08:00:00,1.19,0.6
2023-01-08,09:00:00,2.36,1.18
2023-01-08,10:00:00,1.91,0.95
2023-01-08,11:00:00,0.56,0.28
2023-01-08,12:00:00,0.83,0.41
2023-01-08,13:00:00,1.74,0.87
2023-01-08,14:00:00,1.65,0.83
2023-01-08,15:00:00,0.98,0.49
2023-01-08,16:00:00,2.37,1.18
2023-01-08,17:00:00,1.73,0.86
2023-01-08,18:00:00,1.57,0.79
2023-01-08,19:00:00,1.68,0.84
2023-01-08,20:00:00,1.96,0.98
2023-01-08,21:00:00,1.12,0.56
2023-01-08,22:00:00,1.3,0.65
2023-01-08,23:00:00,0.92,0.46
2023-01-09,00:00:00,0.87,0.44
2023-01-09,01:00:00,2.39,1.19
2023-01-09,02:00:00,1.98,0.99
2023-01-09,03:00:00,1.48,0.74
2023-01-09,04:00:00,0.95,0.48
2023-01-09,05:00:00,1.01,0.5
2023-01-09,06:00:00,0.62,0.31
2023-01-09,07:00:00,1.37,0.68
2023-01-09,08:00:00,1.12,0.56
2023-01-09,09:00:00,1.89,0.95
2023-01-09,10:00:00,1.26,0.63
2023-01-09,11:00:00,0.86,0.43
2023-01-09,12:00:00,0.55,0.27
2023-01-09,13:00:00,0.63,0.32
2023-01-09,14:00:00,1.86,0.93
2023-01-09,15:00:00,1.41,0.7
2023-01-09,16:00:00,1.57,0.79
2023-01-09,17:00:00,2.29,1.15
2023-01-09,18:00:00,2.48,1.24
2023-01-09,19:00:00,0.93,0.47
2023-01-09,20:00:00,1.83,0.91
2023-01-09,21:00:00,1.03,0.51
2023-01-09,22:00:00,0.54,0.27
2023-01-09,23:00:00,2.02,1.01
2023-01-10,00:00:00,1.14,0.57
2023-01-10,01:00:00,1.27,0.63
2023-01-10,02:00:00,1.68,0.84
2023-01-10,03:00:00,2.16,1.08
2023-01-10,04:00:00,1.76,0.88
2023-01-10,05:00:00,2.25,1.12
2023-01-10,06:00:00,1.05,0.52
2023-01-10,07:00:00,2.1,1.05
2023-01-10,08:00:00,0.87,0.44
2023-01-10,09:00:00,2.41,1.2
2023-01-10,10:00:00,1.87,0.94
2023-01-10,11:00:00,0.93,0.47
2023-01-10,12:00:00,2.39,1.2
2023-01-10,13:00:00,1.96,0.98
2023-01-10,14:00:00,1.01,0.5
2023-01-10,15:00:00,0.93,0.46
2023-01-10,16:00:00,1.54,0.77
2023-01-10,17:00:00,0.55,0.28
2023-01-10,18:00:00,0.91,0.46
2023-01-10,19:00:00,1.35,0.67
2023-01-10,20:00:00,1.25,0.62
2023-01-10,21:00:00,1.43,0.71
2023-01-10,22:00:00,1.06,0.53
2023-01-10,23:00:00,1.67,0.84
2023-01-11,00:00:00,2.23,1.11
2023-01-11,01:00:00,0.74,0.37
2023-01-11,02:00:00,1.53,0.77
2023-01-11,03:00:00,0.76,0.38
2023-01-11,04:00:00,1.93,0.97
2023-01-11,05:00:00,1.29,0.65
2023-01-11,06:00:00,1.63,0.82
2023-01-11,07:00:00,0.87,0.43
2023-01-11,08:00:00,0.79,0.39
2023-01-11,09:00:00,1.48,0.74
2023-01-11,10:00:00,1.21,0.61
2023-01-11,11:00:00,2.38,1.19
2023-01-11,12:00:00,2.03,1.02
2023-01-11,13:00:00,2.0,1.0
2023-01-11,14:00:00,2.31,1.15
2023-01-11,15:00:00,0.67,0.33
2023-01-11,16:00:00,1.6,0.8
2023-01-11,17:00:00,1.67,0.83
2023-01-11,18:00:00,2.42,1.21
2023-01-11,19:00:00,1.08,0.54
2023-01-11,20:00:00,0.98,0.49
2023-01-11,21:00:00,0.7,0.35
2023-01-11,22:00:00,0.53,0.27
2023-01-11,23:00:00,2.36,1.18
2023-01-12,00:00:00,1.84,0.92
2023-01-12,01:00:00,2.07,1.04
2023-01-12,02:00:00,1.06,0.53
2023-01-12,03:00:00,1.67,0.84
2023-01-12,04:00:00,0.63,0.31
2023-01-12,05:00:00,1.47,0.74
2023-01-12,06:00:00,2.45,1.23
2023-01-12,07:00:00,2.25,1.13
2023-01-12,08:00:00,1.18,0.59
2023-01-12,09:00:00,2.42,1.21
2023-01-12,10:00:00,0.96,0.48
2023-01-12,11:00:00,2.4,1.2
2023-01-12,12:00:00,2.38,1.19
2023-01-12,13:00:00,2.1,1.05
2023-01-12,14:00:00,1.76,0.88
2023-01-12,15:00:00,2.25,1.12
2023-01-12,16:00:00,1.09,0.54
2023-01-12,17:00:00,2.2,1.1
2023-01-12,18:00:00,1.74,0.87
2023-01-12,19:00:00,0.53,0.26
2023-01-12,20:00:00,1.19,0.6
2023-01-12,21:00:00,0.8,0.4
2023-01-12,22:00:00,2.46,1.23
2023-01-12,23:00:00,1.46,0.73
2023-01-13,00:00:00,1.49,0.75
2023-01-13,01:00:00,1.78,0.89
2023-01-13,02:00:00,1.24,0.62
2023-01-13,03:00:00,0.77,0.39
2023-01-13,04:00:00,2.14,1.07
2023-01-13,05:00:00,0.88,0.44
2023-01-13,06:00:00,1.52,0.76
2023-01-13,07:00:00,0.95,0.47
2023-01-13,08:00:00,0.7,0.35
2023-01-13,09:00:00,2.22,1.11
2023-01-13,10:00:00,2.45,1.22
2023-01-13,11:00:00,2.42,1.21
2023-01-13,12:00:00,2.31,1.16
2023-01-13,13:00:00,2.05,1.02
2023-01-13,14:00:00,1.17,0.58
2023-01-13,15:00:00,0.66,0.33
2023-01-13,16:00:00,1.31,0.66
2023-01-13,17:00:00,0.96,0.48
2023-01-13,18:00:00,0.76,0.38
2023-01-13,19:00:00,0.61,0.3
2023-01-13,20:00:00,1.95,0.98
2023-01-13,21:00:00,0.52,0.26
2023-01-13,22:00:00,2.04,1.02
2023-01-13,23:00:00,0.79,0.4
2023-01-14,00:00:00,0.66,0.33
2023-01-14,01:00:00,0.68,0.34
2023-01-14,02:00:00,1.84,0.92
2023-01-14,03:00:00,0.99,0.5
2023-01-14,04:00:00,1.34,0.67
2023-01-14,05:00:00,1.61,0.81
2023-01-14,06:00:00,2.22,1.11
2023-01-14,07:00:00,1.95,0.98
2023-01-14,08:00:00,1.04,0.52
2023-01-14,09:00:00,0.76,0.38
2023-01-14,10:00:00,0.61,0.31
2023-01-14,11:00:00,1.1,0.55
2023-01-14,12:00:00,1.02,0.51
2023-01-14,13:00:00,1.41,0.71
2023-01-14,14:00:00,1.87,0.93
2023-01-14,15:00:00,1.89,0.95
2023-01-14,16:00:00,1.07,0.53
2023-01-14,17:00:00,1.26,0.63
2023-01-14,18:00:00,0.86,0.43
2023-01-14,19:00:00,2.08,1.04
2023-01-14,20:00:00,0.61,0.31
2023-01-14,21:00:00,1.89,0.95
2023-01-14,22:00:00,2.06,1.03
2023-01-14,23:00:00,2.05,1.03
2023-01-15,00:00:00,1.02,0.51
2023-01-15,01:00:00,1.25,0.62
2023-01-15,02:00:00,1.68,0.84
2023-01-15,03:00:00,1.05,0.52
2023-01-15,04:00:00,1.24,0.62
2023-01-15,05:00:00,0.89,0.45
2023-01-15,06:00:00,1.42,0.71
2023-01-15,07:00:00,0.59,0.29
2023-01-15,08:00:00,2.1,1.05
2023-01-15,09:00:00,0.65,0.33
2023-01-15,10:00:00,1.54,0.77
2023-01-15,11:00:00,1.11,0.56
2023-01-15,12:00:00,1.66,0.83
2023-01-15,13:00:00,2.42,1.21
2023-01-15,14:00:00,1.79,0.9
2023-01-15,15:00:00,0.57,0.29
2023-01-15,16:00:00,1.36,0.68
2023-01-15,17:00:00,1.52,0.76
2023-01-15,18:00:00,1.57,0.79
2023-01-15,19:00:00,1.86,0.93
2023-01-15,20:00:00,1.06,0.53
2023-01-15,21:00:00,0.76,0.38
2023-01-15,22:00:00,1.29,0.64
2023-01-15,23:00:00,2.41,1.21
2023-01-16,00:00:00,0.87,0.44
2023-01-16,01:00:00,2.31,1.15
2023-01-16,02:00:00,1.59,0.79
2023-01-16,03:00:00,1.41,0.71
2023-01-16,04:00:00,2.26,1.13
2023-01-16,05:00:00,1.42,0.71
2023-01-16,06:00:00,1.95,0.97
2023-01-16,07:00:00,1.3,0.65
2023-01-16,08:00:00,2.31,1.15
2023-01-16,09:00:00,1.88,0.94
2023-01-16,10:00:00,1.9,0.95
2023-01-16,11:00:00,1.16,0.58
2023-01-16,12:00:00,2.01,1.01
2023-01-16,13:00:00,1.77,0.89
2023-01-16,14:00:00,0.98,0.49
2023-01-16,15:00:00,0.82,0.41
2023-01-16,16:00:00,2.09,1.05
2023-01-16,17:00:00,2.42,1.21
2023-01-16,18:00:00,1.42,0.71
2023-01-16,19:00:00,1.68,0.84
2023-01-16,20:00:00,2.22,1.11
2023-01-16,21:00:00,1.41,0.71
2023-01-16,22:00:00,2.4,1.2
2023-01-16,23:00:00,1.65,0.83
2023-01-17,00:00:00,2.14,1.07
2023-01-17,01:00:00,2.32,1.16
2023-01-17,02:00:00,2.13,1.07
2023-01-17,03:00:00,0.82,0.41
2023-01-17,04:00:00,1.76,0.88
2023-01-17,05:00:00,1.3,0.65
2023-01-17,06:00:00,0.63,0.31
2023-01-17,07:00:00,1.35,0.67
2023-01-17,08:00:00,1.02,0.51
2023-01-17,09:00:00,2.2,1.1
2023-01-17,10:00:00,0.57,0.28
2023-01-17,11:00:00,2.42,1.21
2023-01-17,12:00:00,1.21,0.61
2023-01-17,13:00:00,1.21,0.61
2023-01-17,14:00:00,0.53,0.27
2023-01-17,15:00:00,0.87,0.44
2023-01-17,16:00:00,1.3,0.65
2023-01-17,17:00:00,2.36,1.18
2023-01-17,18:00:00,0.7,0.35
2023-01-17,19:00:00,2.39,1.2
2023-01-17,20:00:00,2.24,1.12
2023-01-17,21:00:00,1.41,0.7
2023-01-17,22:00:00,1.15,0.58
2023-01-17,23:00:00,0.97,0.48
2023-01-18,00:00:00,1.73,0.86
2023-01-18,01:00:00,0.57,0.28
2023-01-18,02:00:00,0.53,0.27
2023-01-18,03:00:00,1.36,0.68
2023-01-18,04:00:00,0.64,0.32
2023-01-18,05:00:00,1.0,0.5
2023-01-18,06:00:00,0.94,0.47
2023-01-18,07:00:00,1.01,0.5
2023-01-18,08:00:00,0.76,0.38
2023-01-18,09:00:00,0.52,0.26
2023-01-18,10:00:00,0.73,0.37
2023-01-18,11:00:00,1.74,0.87
2023-01-18,12:00:00,2.45,1.22
2023-01-18,13:00:00,2.48,1.24
2023-01-18,14:00:00,1.32,0.66
2023-01-18,15:00:00,0.83,0.41
2023-01-18,16:00:00,1.78,0.89
2023-01-18,17:00:00,1.48,0.74
2023-01-18,18:00:00,2.48,1.24
2023-01-18,19:00:00,0.63,0.32
2023-01-18,20:00:00,2.07,1.03
2023-01-18,21:00:00,1.08,0.54
2023-01-18,22:00:00,0.98,0.49
2023-01-18,23:00:00,1.83,0.91
2023-01-19,00:00:00,0.99,0.5
2023-01-19,01:00:00,1.83,0.92
2023-01-19,02:00:00,1.53,0.77
2023-01-19,03:00:00,1.35,0.67
2023-01-19,04:00:00,1.61,0.8
2023-01-19,05:00:00,1.07,0.54
2023-01-19,06:00:00,1.91,0.96
2023-01-19,07:00:00,1.33,0.66
2023-01-19,08:00:00,1.22,0.61
2023-01-19,09:00:00,2.16,1.08
2023-01-19,10:00:00,2.35,1.17
2023-01-19,11:00:00,0.59,0.3
2023-01-19,12:00:00,0.97,0.48
2023-01-19,13:00:00,1.2,0.6
2023-01-19,14:00:00,2.13,1.06
2023-01-19,15:00:00,2.47,1.24
2023-01-19,16:00:00,2.44,1.22
2023-01-19,17:00:00,2.31,1.15
2023-01-19,18:00:00,1.09,0.55
2023-01-19,19:00:00,2.48,1.24
2023-01-19,20:00:00,1.0,0.5
2023-01-19,21:00:00,0.71,0.36
2023-01-19,22:00:00,2.4,1.2
2023-01-19,23:00:00,0.97,0.48
2023-01-20,00:00:00,1.88,0.94
2023-01-20,01:00:00,0.62,0.31
2023-01-20,02:00:00,1.96,0.98
2023-01-20,03:00:00,2.26,1.13
2023-01-20,04:00:00,1.04,0.52
2023-01-20,05:00:00,1.26,0.63
2023-01-20,06:00:00,1.25,0.62
2023-01-20,07:00:00,2.0,1.0
2023-01-20,08:00:00,0.98,0.49
2023-01-20,09:00:00,0.84,0.42
2023-01-20,10:00:00,1.4,0.7
2023-01-20,11:00:00,1.11,0.55
2023-01-20,12:00:00,2.18,1.09
2023-01-20,13:00:00,0.98,0.49
2023-01-20,14:00:00,1.5,0.75
2023-01-20,15:00:00,2.39,1.19
2023-01-20,16:00:00,1.77,0.88
2023-01-20,17:00:00,2.23,1.12
2023-01-20,18:00:00,2.38,1.19
2023-01-20,19:00:00,2.0,1.0
2023-01-20,20:00:00,1.9,0.95
2023-01-20,21:00:00,2.44,1.22
2023-01-20,22:00:00,2.49,1.24
2023-01-20,23:00:00,1.4,0.7
2023-01-21,00:00:00,0.64,0.32
2023-01-21,01:00:00,1.09,0.54
2023-01-21,02:00:00,0.8,0.4
2023-01-21,03:00:00,1.33,0.67
2023-01-21,04:00:00,0.76,0.38
2023-01-21,05:00:00,1.71,0.85
2023-01-21,06:00:00,1.27,0.63
2023-01-21,07:00:00,2.29,1.15
2023-01-21,08:00:00,2.44,1.22
2023-01-21,09:00:00,1.59,0.8
2023-01-21,10:00:00,1.05,0.52
2023-01-21,11:00:00,1.68,0.84
2023-01-21,12:00:00,2.29,1.15
2023-01-21,13:00:00,1.31,0.66
2023-01-21,14:00:00,1.6,0.8
2023-01-21,15:00:00,1.04,0.52
2023-01-21,16:00:00,1.41,0.71
2023-01-21,17:00:00,1.3,0.65
2023-01-21,18:00:00,1.0,0.5
2023-01-21,19:00:00,1.51,0.76
2023-01-21,20:00:00,1.12,0.56
2023-01-21,21:00:00,1.25,0.62
2023-01-21,22:00:00,1.55,0.77
2023-01-21,23:00:00,2.0,1.0
2023-01-22,00:00:00,1.17,0.58
2023-01-22,01:00:00,2.35,1.17
2023-01-22,02:00:00,2.22,1.11
2023-01-22,03:00:00,0.6,0.3
2023-01-22,04:00:00,1.01,0.5
2023-01-22,05:00:00,1.39,0.7
2023-01-22,06:00:00,0.71,0.35
2023-01-22,07:00:00,1.2,0.6
2023-01-22,08:00:00,1.98,0.99
2023-01-22,09:00:00,1.86,0.93
2023-01-22,10:00:00,1.74,0.87
2023-01-22,11:00:00,1.92,0.96
2023-01-22,12:00:00,0.91,0.45
2023-01-22,13:00:00,1.18,0.59
2023-01-22,14:00:00,1.85,0.93
2023-01-22,15:00:00,2.26,1.13
2023-01-22,16:00:00,1.59,0.79
2023-01-22,17:00:00,1.07,0.53
2023-01-22,18:00:00,0.56,0.28
2023-01-22,19:00:00,1.92,0.96
2023-01-22,20:00:00,0.52,0.26
2023-01-22,21:00:00,1.25,0.62
2023-01-22,22:00:00,1.56,0.78
2023-01-22,23:00:00,2.34,1.17
2023-01-23,00:00:00,0.68,0.34
2023-01-23,01:00:00,1.31,0.66
2023-01-23,02:00:00,0.55,0.27
2023-01-23,03:00:00,1.19,0.59
2023-01-23,04:00:00,1.74,0.87
2023-01-23,05:00:00,1.06,0.53
2023-01-23,06:00:00,0.92,0.46
2023-01-23,07:00:00,0.73,0.37
2023-01-23,08:00:00,1.65,0.83
2023-01-23,09:00:00,1.89,0.95
2023-01-23,10:00:00,1.84,0.92
2023-01-23,11:00:00,2.4,1.2
2023-01-23,12:00:00,0.51,0.25
2023-01-23,13:00:00,1.79,0.9
2023-01-23,14:00:00,1.7,0.85
2023-01-23,15:00:00,1.68,0.84
2023-01-23,16:00:00,2.43,1.21
2023-01-23,17:00:00,0.53,0.27
2023-01-23,18:00:00,1.89,0.95
2023-01-23,19:00:00,2.13,1.06
2023-01-23,20:00:00,1.52,0.76
2023-01-23,21:00:00,1.17,0.58
2023-01-23,22:00:00,2.08,1.04
2023-01-23,23:00:00,0.69,0.35
2023-01-24,00:00:00,1.38,0.69
2023-01-24,01:00:00,1.54,0.77
2023-01-24,02:00:00,1.89,0.94
2023-01-24,03:00:00,0.68,0.34
2023-01-24,04:00:00,0.96,0.48
2023-01-24,05:00:00,1.32,0.66
2023-01-24,06:00:00,1.75,0.87
2023-01-24,07:00:00,2.27,1.14
2023-01-24,08:00:00,1.74,0.87
2023-01-24,09:00:00,0.77,0.38
2023-01-24,10:00:00,2.46,1.23
2023-01-24,11:00:00,2.24,1.12
2023-01-24,12:00:00,1.51,0.75
2023-01-24,13:00:00,2.34,1.17
2023-01-24,14:00:00,1.58,0.79
2023-01-24,15:00:00,2.35,1.17
2023-01-24,16:00:00,2.16,1.08
2023-01-24,17:00:00,2.44,1.22
2023-01-24,18:00:00,2.34,1.17
2023-01-24,19:00:00,0.57,0.29
2023-01-24,20:00:00,0.85,0.42
2023-01-24,21:00:00,1.28,0.64
2023-01-24,22:00:00,2.4,1.2
2023-01-24,23:00:00,1.1,0.55
2023-01-25,00:00:00,0.82,0.41
2023-01-25,01:00:00,2.27,1.14
2023-01-25,02:00:00,1.39,0.7
2023-01-25,03:00:00,2.32,1.16
2023-01-25,04:00:00,0.82,0.41
2023-01-25,05:00:00,1.82,0.91
2023-01-25,06:00:00,1.38,0.69
2023-01-25,07:00:00,0.65,0.33
2023-01-25,08:00:00,1.89,0.95
2023-01-25,09:00:00,0.99,0.5
2023-01-25,10:00:00,0.58,0.29
2023-01-25,11:00:00,0.62,0.31
2023-01-25,12:00:00,0.62,0.31
2023-01-25,13:00:00,2.32,1.16
2023-01-25,14:00:00,1.98,0.99
2023-01-25,15:00:00,2.3,1.15
2023-01-25,16:00:00,1.85,0.92
2023-01-25,17:00:00,1.56,0.78
2023-01-25,18:00:00,1.11,0.55
2023-01-25,19:00:00,2.5,1.25
2023-01-25,20:00:00,1.22,0.61
2023-01-25,21:00:00,1.44,0.72
2023-01-25,22:00:00,1.26,0.63
2023-01-25,23:00:00,2.46,1.23
2023-01-26,00:00:00,0.85,0.42
2023-01-26,01:00:00,1.16,0.58
2023-01-26,02:00:00,1.86,0.93
2023-01-26,03:00:00,0.63,0.31
2023-01-26,04:00:00,1.71,0.86
2023-01-26,05:00:00,1.46,0.73
2023-01-26,06:00:00,1.07,0.53
2023-01-26,07:00:00,0.98,0.49
2023-01-26,08:00:00,1.53,0.76
2023-01-26,09:00:00,1.24,0.62
2023-01-26,10:00:00,1.41,0.71
2023-01-26,11:00:00,1.17,0.59
2023-01-26,12:00:00,2.44,1.22
2023-01-26,13:00:00,0.77,0.38
2023-01-26,14:00:00,0.69,0.35
2023-01-26,15:00:00,1.19,0.59
2023-01-26,16:00:00,1.68,0.84
2023-01-26,17:00:00,1.82,0.91
2023-01-26,18:00:00,1.29,0.65
2023-01-26,19:00:00,2.5,1.25
2023-01-26,20:00:00,1.2,0.6
2023-01-26,21:00:00,1.94,0.97
2023-01-26,22:00:00,1.78,0.89
2023-01-26,23:00:00,2.13,1.06
2023-01-27,00:00:00,2.45,1.23
2023-01-27,01:00:00,2.28,1.14
2023-01-27,02:00:00,2.03,1.01
2023-01-27,03:00:00,1.9,0.95
2023-01-27,04:00:00,1.17,0.59
2023-01-27,05:00:00,0.8,0.4
2023-01-27,06:00:00,0.63,0.31
2023-01-27,07:00:00,0.98,0.49
2023-01-27,08:00:00,1.36,0.68
2023-01-27,09:00:00,1.54,0.77
2023-01-27,10:00:00,2.05,1.02
2023-01-27,11:00:00,2.42,1.21
2023-01-27,12:00:00,0.73,0.37
2023-01-27,13:00:00,0.71,0.36
2023-01-27,14:00:00,1.68,0.84
2023-01-27,15:00:00,1.99,1.0
2023-01-27,16:00:00,2.2,1.1
2023-01-27,17:00:00,2.37,1.19
2023-01-27,18:00:00,2.47,1.23
2023-01-27,19:00:00,1.3,0.65
2023-01-27,20:00:00,1.26,0.63
2023-01-27,21:00:00,0.8,0.4
2023-01-27,22:00:00,1.87,0.93
2023-01-27,23:00:00,1.81,0.91
2023-01-28,00:00:00,2.22,1.11
2023-01-28,01:00:00,0.69,0.35
2023-01-28,02:00:00,1.5,0.75
2023-01-28,03:00:00,1.66,0.83
2023-01-28,04:00:00,0.98,0.49
2023-01-28,05:00:00,0.84,0.42
2023-01-28,06:00:00,2.22,1.11
2023-01-28,07:00:00,0.62,0.31
2023-01-28,08:00:00,1.44,0.72
2023-01-28,09:00:00,0.73,0.37
2023-01-28,10:00:00,1.41,0.71
2023-01-28,11:00:00,2.46,1.23
2023-01-28,12:00:00,1.35,0.67
2023-01-28,13:00:00,2.21,1.11
2023-01-28,14:00:00,0.73,0.37
2023-01-28,15:00:00,1.04,0.52
